"id";"atributo";"opcion_atributo";"probabilidad_clase_basico";"probabilidad_clase_intermedio";"probabilidad_clase_premium"
1;"tipo";"Aventura";0.2;0.25;0.275
2;"tipo";"Urbano";0.22857142857142856;0.15;0.125
3;"tipo";"Natural";0.2;0.1;0.15
4;"tipo";"Compras";0.2;0.3;0.3
5;"tipo";"Gastronomico";0.17142857142857143;0.2;0.15
6;"precio";"250000";0.4761904761428572;0.5416666666250001;0.5416666666250001
7;"precio";"100000";0.219047619;0.341666666625;0.24166666662500003
8;"precio";"50000";0.30476190471428577;0.116666666625;0.21666666662500003
9;"cercania";"-25";0.5047619047142857;0.341666666625;0.341666666625
10;"cercania";"25-100";0.2476190475714286;0.341666666625;0.26666666662500005
11;"cercania";"+100";0.2476190475714286;0.31666666662500004;0.39166666662500005
12;"alimentacion";"SI";0.6142857142857143;0.6125;0.4875
13;"alimentacion";"NO";0.38571428571428573;0.3875;0.5125
14;"transporte";"SI";0.5;0.4375;0.4875
15;"transporte";"NO";0.5;0.5625;0.5125
